FIPS,total_pop,prop_vaccine_intent,prop_vaccine_intent_lower,prop_vaccine_intent_upper
48153,5782.0,0.14,0.09,0.19
48155,1207.0,,,
48157,790892.0,0.24,0.24,0.25
48159,10767.0,0.24,0.19,0.28
48161,19744.0,0.2,0.16,0.23
48163,20013.0,0.15,0.12,0.18
48165,21077.0,0.12,0.1,0.15
48167,337600.0,0.23,0.23,0.24
48169,6028.0,0.18,0.11,0.25
48171,26668.0,0.23,0.21,0.25
48173,1447.0,0.17,0.07,0.27
48175,7578.0,0.17,0.13,0.22
48177,20828.0,0.21,0.19,0.24
48179,22063.0,0.13,0.11,0.15
48181,133527.0,0.22,0.21,0.23
48183,123633.0,0.23,0.22,0.24
48185,28447.0,0.22,0.19,0.24
48187,163030.0,0.28,0.27,0.29
48189,33463.0,0.15,0.13,0.17
48191,3025.0,0.07,0.03,0.11
48193,8434.0,0.2,0.17,0.24
48195,5431.0,0.07,0.03,0.12
48197,3958.0,0.13,0.06,0.21
48199,57356.0,0.18,0.17,0.2
48201,4680609.0,0.25,0.25,0.25
48203,66547.0,0.2,0.18,0.21
48205,5588.0,,,
48207,5711.0,0.11,0.07,0.15
48209,222827.0,0.28,0.28,0.29
48211,3901.0,0.12,0.08,0.17
48213,81969.0,0.25,0.24,0.26
48215,861137.0,0.23,0.23,0.24
48217,36109.0,0.21,0.2,0.23
48219,22986.0,0.17,0.15,0.18
48221,60025.0,0.28,0.27,0.3
48223,36708.0,0.23,0.21,0.25
48225,22942.0,0.17,0.15,0.2
48227,36213.0,0.14,0.13,0.16
48229,4687.0,,,
48231,96202.0,0.23,0.21,0.24
48233,21105.0,0.19,0.16,0.21
48235,1553.0,0.11,0.03,0.2
48237,8888.0,0.22,0.16,0.27
48239,14822.0,0.17,0.14,0.2
48241,35562.0,0.18,0.16,0.21
48243,2245.0,0.24,0.16,0.33
48245,253136.0,0.22,0.21,0.23
48247,5187.0,0.15,0.09,0.21
48249,40796.0,0.17,0.15,0.19
48251,171359.0,0.26,0.25,0.26
48253,19874.0,0.19,0.17,0.21
48255,15547.0,0.25,0.21,0.29
48257,129792.0,0.23,0.22,0.24
48259,45491.0,0.31,0.29,0.32
48261,391.0,,,
48263,704.0,,,
48265,52195.0,0.3,0.28,0.31
48267,4375.0,0.19,0.14,0.25
48269,279.0,,,
48271,3674.0,0.23,0.14,0.32
48273,30725.0,0.17,0.15,0.19
48275,3679.0,0.14,0.05,0.22
48277,49705.0,0.17,0.15,0.18
48279,13018.0,0.13,0.09,0.17
48281,21152.0,0.21,0.18,0.24
48283,7551.0,0.17,0.11,0.22
48285,20072.0,0.22,0.19,0.25
48287,17174.0,0.21,0.18,0.23
48289,17325.0,0.2,0.18,0.22
48291,86173.0,0.22,0.2,0.23
48293,23364.0,0.19,0.16,0.22
48295,3301.0,,,
48297,12175.0,0.22,0.19,0.26
48299,21452.0,0.25,0.23,0.27
48301,117.0,,,
48303,308392.0,0.19,0.19,0.2
48305,5886.0,0.12,0.07,0.16
48307,7970.0,0.15,0.11,0.19
48309,254045.0,0.22,0.22,0.23
48311,724.0,,,
48313,14329.0,0.23,0.18,0.28
48315,9987.0,0.19,0.13,0.24
48317,5676.0,0.16,0.15,0.18
48319,4248.0,0.21,0.16,0.26
48321,36791.0,0.25,0.23,0.27
48323,58098.0,0.46,0.44,0.48
48325,50869.0,0.26,0.24,0.28
48327,2108.0,0.15,0.07,0.24
48329,171238.0,0.17,0.17,0.18
48331,24797.0,0.19,0.16,0.21
48333,4877.0,0.2,0.16,0.24
48335,8256.0,0.13,0.09,0.18
48337,19640.0,0.19,0.16,0.22
48339,590188.0,0.27,0.26,0.27
48341,21169.0,0.21,0.19,0.24
48343,12357.0,0.18,0.14,0.23
48345,1362.0,,,
48347,65080.0,0.21,0.2,0.23
48349,49475.0,0.13,0.12,0.14
48351,13788.0,0.26,0.16,0.35
48353,14901.0,0.17,0.14,0.2
48355,362151.0,0.23,0.23,0.24
48357,9907.0,0.1,0.07,0.13
48359,2110.0,0.17,0.08,0.25
48361,83776.0,0.22,0.21,0.23
48363,28792.0,0.21,0.18,0.23
48365,23186.0,0.18,0.15,0.21
48367,138447.0,0.22,0.21,0.23
48369,9639.0,0.12,0.08,0.16
48371,15725.0,0.17,0.14,0.2
48373,50155.0,0.22,0.21,0.24
48375,118323.0,0.16,0.15,0.17
48377,6808.0,0.12,0.07,0.17
48379,12001.0,0.21,0.17,0.25
48381,136005.0,0.17,0.17,0.18
48383,3766.0,0.21,0.13,0.28
48385,3429.0,0.25,0.19,0.31
48387,12115.0,0.13,0.1,0.17
48389,15546.0,0.11,0.09,0.14
48391,7015.0,0.18,0.13,0.23
48393,784.0,,,
48395,17094.0,0.22,0.18,0.26
48397,101175.0,0.27,0.26,0.28
48399,10280.0,0.11,0.09,0.14
48401,53988.0,0.24,0.22,0.26
48403,10470.0,0.18,0.15,0.22
48405,8260.0,0.23,0.16,0.3
48407,28574.0,0.21,0.19,0.23
48409,66969.0,0.23,0.21,0.24
48411,6004.0,0.15,0.11,0.19
48413,2898.0,0.17,0.11,0.24
48415,16918.0,0.15,0.12,0.17
48417,3291.0,0.18,0.1,0.25
48419,25263.0,0.19,0.16,0.22
48421,3046.0,0.15,0.09,0.22
48423,230184.0,0.23,0.22,0.24
48425,8958.0,0.23,0.19,0.28
48427,64032.0,0.11,0.1,0.13
48429,9358.0,0.14,0.11,0.18
48431,1274.0,,,
48433,1412.0,0.09,0.01,0.17
48435,3793.0,0.14,0.08,0.2
48437,7403.0,0.08,0.04,0.12
48439,2077153.0,0.26,0.26,0.26
48441,137521.0,0.19,0.18,0.2
48443,903.0,,,
48445,12408.0,0.13,0.1,0.15
48447,1500.0,0.37,0.25,0.48
48449,32709.0,0.2,0.18,0.22
48451,118645.0,0.15,0.15,0.16
48453,1250884.0,0.32,0.31,0.32
48455,14689.0,0.2,0.17,0.24
48457,21524.0,0.2,0.15,0.24
48459,41386.0,0.22,0.2,0.24
48461,3651.0,0.12,0.06,0.18
48463,26899.0,0.19,0.16,0.21
48465,49018.0,0.17,0.16,0.19
48467,55970.0,0.24,0.22,0.25
48469,92044.0,0.21,0.2,0.22
48471,72295.0,0.25,0.23,0.26
48473,53626.0,0.22,0.2,0.24
48475,11745.0,0.15,0.11,0.18
48477,35275.0,0.24,0.23,0.26
48479,274847.0,0.27,0.26,0.28
48481,41672.0,0.23,0.21,0.25
48483,5187.0,0.11,0.05,0.17
48485,132154.0,0.17,0.16,0.18
48487,12717.0,0.19,0.16,0.22
48489,21419.0,0.18,0.15,0.21
48491,570437.0,0.31,0.3,0.31
48493,50110.0,0.23,0.21,0.25
48495,7822.0,0.17,0.12,0.22
48497,67884.0,0.2,0.19,0.22
48499,45054.0,0.24,0.23,0.26
48501,8612.0,0.2,0.09,0.3
48503,17961.0,0.19,0.16,0.21
48505,14243.0,0.2,0.16,0.23
48507,11930.0,0.14,0.1,0.17
49001,6594.0,0.2,0.14,0.26
49003,54953.0,0.23,0.22,0.25
49005,126336.0,0.23,0.21,0.24
49007,20401.0,0.24,0.22,0.26
49009,590.0,0.18,0.08,0.29
49011,350761.0,0.28,0.28,0.29
49013,19950.0,0.11,0.09,0.13
49015,10099.0,0.12,0.09,0.15
49017,5000.0,0.16,0.11,0.2
49019,9698.0,0.2,0.17,0.23
49021,53148.0,0.24,0.23,0.26
49023,11623.0,0.14,0.11,0.17
49025,7658.0,0.24,0.21,0.28
49027,12963.0,0.13,0.1,0.16
49029,11950.0,0.25,0.2,0.29
49031,1870.0,,,
49033,2415.0,0.15,0.08,0.22
49035,1146215.0,0.29,0.29,0.29
49037,15295.0,0.08,0.05,0.11
49039,30421.0,0.17,0.15,0.18
49041,21475.0,0.19,0.17,0.22
49043,41680.0,0.28,0.27,0.3
49045,69740.0,0.25,0.24,0.27
49047,35736.0,0.12,0.11,0.14
49049,621506.0,0.25,0.24,0.25
49051,33053.0,0.27,0.25,0.29
49053,172127.0,0.27,0.26,0.28
49055,2698.0,0.19,0.09,0.29
49057,255284.0,0.28,0.28,0.29
50001,36947.0,0.38,0.35,0.4
50003,35649.0,0.34,0.32,0.36
50005,30027.0,0.43,0.4,0.46
50007,163414.0,0.4,0.39,0.41
50009,6179.0,,,
50011,49275.0,0.33,0.31,0.35
50013,7075.0,0.34,0.29,0.4
50015,25376.0,0.37,0.34,0.39
50017,28873.0,0.41,0.39,0.44
50019,26843.0,0.33,0.3,0.35
50021,58527.0,0.34,0.32,0.35
50023,58336.0,0.36,0.34,0.37
50025,42628.0,0.38,0.36,0.39
50027,55191.0,0.38,0.37,0.4
51001,32560.0,0.18,0.16,0.2
51003,108819.0,0.37,0.36,0.37
51005,15030.0,0.27,0.24,0.3
51007,12970.0,0.3,0.27,0.34
51009,31782.0,0.3,0.28,0.33
51011,15814.0,0.24,0.21,0.27
51013,236434.0,0.37,0.37,0.38
51015,75754.0,0.27,0.26,0.29
51017,4248.0,0.23,0.19,0.27
51019,78965.0,0.32,0.3,0.33
51021,6334.0,0.3,0.21,0.4
51023,33440.0,0.29,0.26,0.32
51025,16336.0,0.32,0.27,0.38
51027,21374.0,0.21,0.18,0.25
51029,17087.0,0.28,0.26,0.31
51031,55406.0,0.26,0.25,0.28
51033,30581.0,0.28,0.26,0.31
51035,29911.0,0.26,0.22,0.29
51036,6965.0,0.31,0.24,0.39
51037,11953.0,0.24,0.13,0.35
51041,348500.0,0.32,0.31,0.33
51043,14498.0,0.37,0.34,0.4
51045,5103.0,0.25,0.2,0.31
51047,51935.0,0.28,0.26,0.29
51049,9869.0,0.25,0.22,0.27
51051,14524.0,0.17,0.14,0.21
51053,28686.0,0.23,0.21,0.24
51057,10960.0,0.26,0.22,0.3
51059,1149439.0,0.35,0.35,0.35
51061,70353.0,0.3,0.28,0.31
51063,15766.0,0.23,0.21,0.26
51065,26873.0,0.33,0.31,0.35
51067,56231.0,0.31,0.3,0.33
51069,88054.0,0.3,0.29,0.31
51071,16760.0,0.26,0.22,0.3
51073,37362.0,0.25,0.24,0.27
51075,23472.0,0.35,0.33,0.36
51077,15651.0,0.22,0.19,0.25
51079,19734.0,0.32,0.29,0.35
51081,11403.0,0.23,0.19,0.26
51083,34295.0,0.25,0.22,0.28
51085,106538.0,0.36,0.35,0.37
51087,330076.0,0.33,0.32,0.33
51089,51032.0,0.27,0.26,0.29
51091,2202.0,0.2,0.14,0.27
51093,37107.0,0.29,0.27,0.31
51095,76032.0,0.34,0.33,0.35
51097,7011.0,,,
51099,26679.0,0.26,0.24,0.28
51101,16985.0,0.3,0.27,0.33
51103,10686.0,0.33,0.29,0.37
51105,23723.0,0.21,0.18,0.24
51107,405312.0,0.31,0.31,0.32
51109,36654.0,0.32,0.29,0.34
51111,12294.0,0.25,0.2,0.3
51113,13208.0,0.3,0.24,0.36
51115,8760.0,0.24,0.19,0.29
51117,30726.0,0.25,0.23,0.27
51119,10642.0,0.27,0.24,0.31
51121,98495.0,0.31,0.3,0.32
51125,14812.0,0.32,0.29,0.35
51127,22310.0,0.32,0.29,0.34
51131,11826.0,0.27,0.24,0.31
51133,12151.0,0.26,0.23,0.29
51135,15338.0,0.27,0.23,0.31
51137,36501.0,0.28,0.26,0.3
51139,23862.0,0.3,0.27,0.33
51141,17660.0,0.32,0.28,0.35
